head->name : GJS_DEBUG_TOPICS, index : 60
head->name : LC_TIME, index : 42
head->name : USER, index : 20
head->name : XDG_SESSION_TYPE, index : 4
head->name : SHLVL, index : 27
head->name : HOME, index : 55
head->name : DESKTOP_SESSION, index : 68
head->name : GIO_LAUNCHED_DESKTOP_FILE, index : 64
head->name : GTK_MODULES, index : 56
head->name : GNOME_SHELL_SESSION_MODE, index : 58
head->name : LC_MONETARY, index : 47
head->name : MANAGERPID, index : 37
head->name : SYSTEMD_EXEC_PID, index : 24
head->name : DBUS_SESSION_BUS_ADDRESS, index : 69
head->name : GIO_LAUNCHED_DESKTOP_FILE_PID, index : 63
head->name : IM_CONFIG_PHASE, index : 54
head->name : LOGNAME, index : 40
head->name : _, index : 0
head->name : JOURNAL_STREAM, index : 52
head->name : XDG_SESSION_CLASS, index : 6
head->name : USERNAME, index : 19
head->name : GNOME_DESKTOP_SESSION_ID, index : 59
head->name : WINDOWPATH, index : 13
head->name : PATH, index : 33
head->name : SESSION_MANAGER, index : 29
head->name : INVOCATION_ID, index : 53
head->name : LC_ADDRESS, index : 50
head->name : XDG_RUNTIME_DIR, index : 7
head->name : XDG_MENU_PREFIX, index : 8
head->name : DISPLAY, index : 67
head->name : LANG, index : 51
head->name : LC_TELEPHONE, index : 43
head->name : XDG_CURRENT_DESKTOP, index : 10
head->name : XAUTHORITY, index : 12
head->name : XDG_SESSION_DESKTOP, index : 5
head->name : XMODIFIERS, index : 3
head->name : SSH_AGENT_LAUNCHER, index : 26
head->name : SSH_AUTH_SOCK, index : 25
head->name : LC_NAME, index : 46
head->name : SHELL, index : 28
head->name : QT_ACCESSIBILITY, index : 31
head->name : GDMSESSION, index : 65
head->name : LC_MEASUREMENT, index : 48
head->name : LC_IDENTIFICATION, index : 49
head->name : GPG_AGENT_INFO, index : 57
head->name : GJS_DEBUG_OUTPUT, index : 61
head->name : QT_IM_MODULE, index : 30
head->name : PWD, index : 32
head->name : XDG_DATA_DIRS, index : 9
head->name : XDG_CONFIG_DIRS, index : 11
head->name : LC_NUMERIC, index : 45
head->name : LC_PAPER, index : 44
head->name : CHROME_DESKTOP, index : 71
head->name : ORIGINAL_XDG_CURRENT_DESKTOP, index : 35
head->name : GDK_BACKEND, index : 66
head->name : OLDPWD, index : 36
head->name : ZSH, index : 1
head->name : PAGER, index : 34
head->name : LESS, index : 41
head->name : LSCOLORS, index : 39
head->name : TERM_PROGRAM, index : 22
head->name : TERM_PROGRAM_VERSION, index : 21
head->name : COLORTERM, index : 70
head->name : GIT_ASKPASS, index : 62
head->name : VSCODE_GIT_ASKPASS_NODE, index : 16
head->name : VSCODE_GIT_ASKPASS_EXTRA_ARGS, index : 18
head->name : VSCODE_GIT_ASKPASS_MAIN, index : 17
head->name : VSCODE_GIT_IPC_HANDLE, index : 15
head->name : VSCODE_INJECTION, index : 14
head->name : ZDOTDIR, index : 2
head->name : TERM, index : 23
